candidate,day,tweet_count,retweet_count,like_count,reply_count
roussel,2022-03-13,11,5633,19344,2159
zemmour,2022-01-03,15,14216,54330,3322
zemmour,2022-01-04,27,29826,109191,6774
zemmour,2022-01-05,11,13150,42413,2198
zemmour,2022-01-06,34,24694,86454,3839
zemmour,2022-01-07,112,44880,184322,5818
zemmour,2022-01-08,68,33749,134489,7057
zemmour,2022-01-09,49,44252,140221,8958
zemmour,2022-01-10,47,32970,119068,6499
zemmour,2022-01-11,38,29540,93084,5394
zemmour,2022-01-12,92,51737,194661,8901
zemmour,2022-01-13,54,31934,107677,5808
zemmour,2022-01-14,92,48661,188613,6401
zemmour,2022-01-15,77,63966,190746,9685
zemmour,2022-01-16,73,46011,143248,6192
zemmour,2022-01-17,46,31371,84983,4775
zemmour,2022-01-18,45,29148,95259,5399
zemmour,2022-01-19,79,52657,169837,7444
zemmour,2022-01-20,48,42384,131994,8042
zemmour,2022-01-21,61,41281,139690,6749
zemmour,2022-01-22,120,70975,245500,8851
zemmour,2022-01-23,63,56881,184587,9416
zemmour,2022-01-24,66,38571,134537,7302
zemmour,2022-01-25,43,28353,84747,5554
zemmour,2022-01-26,48,26199,84977,4623
zemmour,2022-01-27,58,40736,148428,9477
zemmour,2022-01-28,86,50608,183408,6219
zemmour,2022-01-29,61,42702,132272,10216
zemmour,2022-01-30,40,21397,69436,2944
zemmour,2022-01-31,54,37001,122190,8433
zemmour,2022-02-01,42,27442,85756,4790
zemmour,2022-02-02,93,59558,201669,9710
zemmour,2022-02-03,44,28151,97642,6363
zemmour,2022-02-04,35,24642,74242,4986
zemmour,2022-02-05,158,81408,269591,11655
zemmour,2022-02-06,27,19496,60539,3979
zemmour,2022-02-07,70,53820,168513,11653
zemmour,2022-02-08,32,25487,73323,6685
zemmour,2022-02-09,104,61227,206023,11973
zemmour,2022-02-10,33,35562,106656,7442
zemmour,2022-02-11,42,33336,109591,6504
zemmour,2022-02-12,86,48899,169832,6653
zemmour,2022-02-13,82,48849,160450,9902
zemmour,2022-02-14,51,42322,147516,8235
zemmour,2022-02-15,61,37815,126217,6197
zemmour,2022-02-16,48,36840,112431,7423
zemmour,2022-02-17,50,41422,117592,9456
zemmour,2022-02-18,30,21891,86219,5696
zemmour,2022-02-19,100,62954,210421,10333
zemmour,2022-02-20,55,34115,104794,5212
zemmour,2022-02-21,59,42069,132021,7920
zemmour,2022-02-22,73,43606,118079,9974
zemmour,2022-02-23,52,41487,120863,7549
zemmour,2022-02-24,38,23883,76033,7551
zemmour,2022-02-25,50,35299,112766,6230
zemmour,2022-02-26,26,18794,60707,5157
zemmour,2022-02-27,30,24752,71226,7130
zemmour,2022-02-28,48,30625,96193,6745
zemmour,2022-03-01,30,22773,84131,5077
zemmour,2022-03-02,49,35293,118171,10174
zemmour,2022-03-03,34,36565,95805,8683
zemmour,2022-03-04,64,57716,155017,8869
zemmour,2022-03-05,22,15593,43143,2211
zemmour,2022-03-06,76,59376,184646,11305
zemmour,2022-03-07,59,42025,125863,8070
zemmour,2022-03-08,55,38632,114118,7721
